Season,No. overall,No. in season,Title,Original air date,Losing Joker(s),U.S. viewers (millions)
1,1,1,"""Pay It Forward""","December 15, 2011",Sal,1.52[1]
1,2,2,"""Butterfly Crime Scene""","December 15, 2011",Sal,1.33[1]
1,3,3,"""Unmotivational Speaker""","December 22, 2011",Sal,1.50[2]
1,4,4,"""Boardwalk of Shame""","December 29, 2011",Joe,1.31[3]
1,5,5,"""Drawing a Blank""","January 5, 2012",Sal,1.48[4]
1,6,6,"""Panty Raid""","January 12, 2012",Murr,1.35[5]
1,7,7,"""Out of TP""","January 19, 2012",Joe,1.61[6]
1,8,8,"""Who Arted""","January 26, 2012",Q,1.70[7]
1,9,9,"""A Loser Presents""","February 16, 2012",Murr,1.62[8]
1,10,10,"""What Did I Eat?""","March 29, 2012",Q,1.27[9]
1,11,11,"""Starfart Macchiato""","March 29, 2012",Murr,1.27[9]
1,12,12,"""Bellydancer""","April 5, 2012",Joe,1.31[10]
1,13,13,"""Charity Case""","April 12, 2012",Murr,1.84[11]
1,14,14,"""Theater del Absurdo""","April 19, 2012",Joe,1.71[12]
1,15,15,"""Pick a Loser""","April 26, 2012",Q,1.12[13]
1,16,16,"""Supercuts""","May 3, 2012",All Jokers,1.51[14]
2,17,1,"""Elephant in the Room""","September 6, 2012",Sal,1.72[15]
2,18,2,"""The Stoop Sessions Part 1""","September 13, 2012",clip show,1.52[16]
2,19,3,"""Art Attack""","September 20, 2012",Murr,1.72[17]
2,20,4,"""The Stoop Sessions Part 2""","September 27, 2012",clip show,1.20[18]
2,21,5,"""Strip High Five""","December 13, 2012",Joe and Murr,1.69[19]
2,22,6,"""Birds and the Bees""","December 13, 2012",Q,1.87[19]
2,23,7,"""Sound EffeXXX""","December 20, 2012",Sal,1.56[20]
2,24,8,"""Do Something To My Face""","December 27, 2012",Joe,1.97[21]
2,25,9,"""Psychotic Not-Line""","January 3, 2013",Sal,2.01[22]
2,26,10,"""The Truth Hurts""","January 10, 2013",Murr,1.75[23]
2,27,11,"""Get Out of Dodge""","January 17, 2013",Murr,1.69[24]
2,28,12,"""The Love Expert""","January 24, 2013",Joe,1.81[25]
2,29,13,"""Out of Fashion""","February 7, 2013",Q,2.08[26]
2,30,14,"""Scaredy Cat""","February 14, 2013",Sal,1.68[27]
2,31,15,"""Joker vs. Joker""","February 21, 2013",Q and Sal,1.93[28]
2,32,16,"""Down in the Dump""","August 1, 2013",Sal,1.64[29]
2,33,17,"""Human Piñata""","August 8, 2013",Murr,1.49[30]
2,34,18,"""Sweat the Small Things""","August 15, 2013",Sal,1.61[31]
